id,Nama,Age,Balanced,No 2b Thread-No,No 3 Thread-No,Previous Balanced,Average Balanced,No 1 Thread-No,Free Transfer,No 2a Thread-No
1,Liam,36,232,pool-4-thread-1,pool-5-thread-1,222,180,pool-2-thread-1,0,pool-3-thread-1
2,Noah,39,220,pool-4-thread-2,pool-5-thread-2,210,128,pool-2-thread-2,0,pool-3-thread-2
3,Oliver,51,78,pool-4-thread-3,pool-5-thread-3,81,79,pool-2-thread-3,0,pool-3-thread-3
4,Elijah,39,52,pool-4-thread-4,pool-5-thread-4,106,79,pool-2-thread-4,0,pool-3-thread-4
5,William,34,116,pool-4-thread-5,pool-5-thread-5,61,88,pool-2-thread-5,5,pool-3-thread-5
6,James,30,67,pool-4-thread-6,pool-5-thread-6,142,104,pool-2-thread-6,0,pool-3-thread-6
7,Benjamin,46,225,pool-4-thread-7,pool-5-thread-7,215,158,pool-2-thread-7,0,pool-3-thread-7
8,Lucas,24,120,pool-4-thread-8,pool-5-thread-8,191,155,pool-2-thread-8,5,pool-3-thread-8
9,Henry,37,217,pool-4-thread-9,pool-5-thread-1,207,143,pool-2-thread-9,0,pool-3-thread-9
10,Alexander,44,221,pool-4-thread-10,pool-5-thread-1,211,164,pool-2-thread-10,0,pool-3-thread-10
11,Mason,21,200,pool-4-thread-1,pool-5-thread-1,190,173,pool-2-thread-1,0,pool-3-thread-9
12,Michael,31,192,pool-4-thread-10,pool-5-thread-1,182,153,pool-2-thread-10,0,pool-3-thread-9
13,Ethan,41,110,pool-4-thread-9,pool-5-thread-8,180,145,pool-2-thread-3,5,pool-3-thread-9
14,Daniel,44,99,pool-4-thread-9,pool-5-thread-8,84,91,pool-2-thread-3,0,pool-3-thread-1
15,Jacob,28,76,pool-4-thread-2,pool-5-thread-8,181,128,pool-2-thread-3,0,pool-3-thread-1
16,Logan,21,75,pool-4-thread-9,pool-5-thread-2,173,124,pool-2-thread-9,0,pool-3-thread-3
17,Jackson,37,145,pool-4-thread-9,pool-5-thread-2,116,130,pool-2-thread-9,5,pool-3-thread-2
18,Levi,29,57,pool-4-thread-9,pool-5-thread-2,83,70,pool-2-thread-9,0,pool-3-thread-2
19,Sebastian,33,142,pool-4-thread-9,pool-5-thread-3,88,115,pool-2-thread-9,5,pool-3-thread-4
